pcid,timestep,community,growth_rate,density_change,degree_change,fraud_growth,clustering_change,feature_drift,variance_drift,lifetime,persistence,average_match_score,node_churn,structural_stability,is_fraud_community,afei,feature_contributions
491.0,23.0,50.0,0.47982500849473336,0.08333333333333334,0.60466472303207,0.4242424242424243,0.7652582159624413,0.18321020690820436,0.027870181537651993,3.0,0.6,0.9380666666666667,0.4798250084947332,0.6165763713599705,0.0,0.38390492537668197,"{'growth_rate': np.float64(0.09596500169894667), 'density_change': np.float64(0.008333333333333335), 'degree_change': np.float64(0.060466472303207), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.027481531036230654), 'variance_drift': np.float64(0.0013935090768825997), 'node_churn': np.float64(0.04798250084947332), 'structural_stability': np.float64(0.01917118143200148)}"
741.0,24.0,95.0,0.22916666666666669,0.16666666666666666,0.8634920634920635,0.4242424242424243,0.7652582159624413,0.07189578655127457,1.0,3.0,0.6,0.8249666666666666,0.22916666666666669,0.6449631449631448,1.0,0.3734134793970139,"{'growth_rate': np.float64(0.04583333333333334), 'density_change': np.float64(0.016666666666666666), 'degree_change': np.float64(0.08634920634920636), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.010784367982691185), 'variance_drift': np.float64(0.05), 'node_churn': np.float64(0.02291666666666667), 'structural_stability': np.float64(0.017751842751842762)}"
212.0,22.0,121.0,0.390731592566455,0.12926136363636365,0.8674170274170275,0.4242424242424243,0.7652582159624413,0.056310777876358076,0.03936000550367383,5.0,1.0,0.7801,0.39073159256645495,0.5798912330227364,0.0,0.37141876782738314,"{'growth_rate': np.float64(0.07814631851329101), 'density_change': np.float64(0.012926136363636365), 'degree_change': np.float64(0.08674170274170276), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.008446616681453712), 'variance_drift': np.float64(0.0019680002751836915), 'node_churn': np.float64(0.0390731592566455), 'structural_stability': np.float64(0.021005438348863183)}"
25.0,22.0,3.0,0.41067787971457703,0.09374999999999997,0.7133928571428572,0.4242424242424243,0.7652582159624413,0.05614126214603881,0.025766104660394015,4.0,0.8,0.7503,0.41067787971457703,0.619284378718341,0.0,0.35577432089427424,"{'growth_rate': np.float64(0.08213557594291541), 'density_change': np.float64(0.009374999999999998), 'degree_change': np.float64(0.07133928571428572), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.00842118932190582), 'variance_drift': np.float64(0.0012883052330197008), 'node_churn': np.float64(0.04106778797145771), 'structural_stability': np.float64(0.019035781064082952)}"
25.0,23.0,41.0,0.03469036697247708,1.0,0.5511651469098279,0.4242424242424243,0.7652582159624413,0.08438810253747771,0.02506420341280131,4.0,0.8,0.7503,0.03469036697247708,0.0,0.0,0.35254644598059454,"{'growth_rate': np.float64(0.006938073394495416), 'density_change': np.float64(0.1), 'degree_change': np.float64(0.05511651469098279), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.012658215380621656), 'variance_drift': np.float64(0.0012532101706400657), 'node_churn': np.float64(0.003469036697247708), 'structural_stability': np.float64(0.05)}"
828.0,24.0,12.0,0.3458524464831804,0.12418300653594772,0.781254724111867,0.4242424242424243,0.7652582159624413,0.10092190459519183,0.016995941758257537,2.0,0.4,0.8811,0.3458524464831804,0.6264651260875777,1.0,0.3520757291291553,"{'growth_rate': np.float64(0.06917048929663609), 'density_change': np.float64(0.012418300653594772), 'degree_change': np.float64(0.07812547241118671), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.015138285689278774), 'variance_drift': np.float64(0.0008497970879128769), 'node_churn': np.float64(0.034585244648318046), 'structural_stability': np.float64(0.01867674369562112)}"
865.0,24.0,79.0,0.15137614678899083,0.25,0.6476190476190476,0.4242424242424243,0.7652582159624413,0.6141320344957241,0.023432600221989057,2.0,0.4,0.9189499999999999,0.15137614678899083,1.0,0.0,0.35157757963066694,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.09211980517435861), 'variance_drift': np.float64(0.0011716300110994528), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
741.0,23.0,201.0,0.15137614678899083,0.25,0.6476190476190476,0.8484848484848486,0.7652582159624413,0.05373639934240931,0.0006020083354611191,3.0,0.6,0.8249666666666666,0.15137614678899083,1.0,1.0,0.3512251896118282,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.06476190476190477), 'fraud_growth': np.float64(0.16969696969696973), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.008060459901361396), 'variance_drift': np.float64(3.0100416773055954e-05), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0)}"
137.0,22.0,195.0,0.15137614678899083,0.25,0.8095238095238096,0.4242424242424243,0.7652582159624413,0.38699761739203425,0.015407678766446031,5.0,1.0,0.8477600000000001,0.15137614678899083,0.8497920997920994,0.0,0.34080704219320757,"{'growth_rate': np.float64(0.030275229357798167), 'density_change': np.float64(0.025), 'degree_change': np.float64(0.08095238095238097), 'fraud_growth': np.float64(0.08484848484848487), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.05804964260880514), 'variance_drift': np.float64(0.0007703839383223016), 'node_churn': np.float64(0.015137614678899083), 'structural_stability': np.float64(0.0075103950103950325)}"
161.0,24.0,17.0,0.20323649337410807,0.1875,0.6638095238095238,0.6363636363636365,0.7652582159624413,0.1327493048144373,0.011981823132816658,5.0,1.0,0.8736600000000001,0.2032364933741081,0.8360325974829792,1.0,0.34034739546869164,"{'growth_rate': np.float64(0.040647298674821614), 'density_change': np.float64(0.018750000000000003), 'degree_change': np.float64(0.06638095238095239), 'fraud_growth': np.float64(0.1272727272727273), 'clustering_change': np.float64(0.038262910798122066), 'feature_drift': np.float64(0.019912395722165594), 'variance_drift': np.float64(0.000599091156640833), 'node_churn': np.float64(0.02032364933741081), 'structural_stability': np.float64(0.00819837012585104)}"
